"tip"->"tatlı":67 bin,"acı":222 bin,result:-0.6057083670744385
"replik"->"tatlı":5 bin,"acı":5 bin,result:-0.08543019532462635
"entelektüel"->"tatlı":4 bin,"acı":4 bin,result:-0.08543019532462635
"yetki"->"tatlı":2 bin,"acı":3 bin,result:-0.2615214543803076
"dolan"->"tatlı":10 bin,"acı":38 bin,result:-0.6652137919414366
"ileri"->"tatlı":37 bin,"acı":101 bin,result:-0.5215498450402739
"tiz"->"tatlı":7 bin,"acı":10 bin,result:-0.24033215531036956
"homofobi"->"tatlı":bin,"acı":439,result:0.27210528443325227
"paşa"->"tatlı":45 bin,"acı":60 bin,result:-0.21036893193292627
"palmiye"->"tatlı":13 bin,"acı":5 bin,result:0.3295431526461916
"otoban"->"tatlı":3 bin,"acı":2 bin,result:0.09066106373105492
"zenci"->"tatlı":133 bin,"acı":79 bin,result:0.14079435435201804
"ezik"->"tatlı":4 bin,"acı":12 bin,result:-0.5625514500442889
"dışla"->"tatlı":319,"acı":17,result:1.1879115663542807
"kuaför"->"tatlı":52 bin,"acı":10 bin,result:0.6305731483101729
"teselli"->"tatlı":31 bin,"acı":71 bin,result:-0.44532685020942897
"dikizle"->"tatlı":46,"acı":1,result:1.5773276363569477
"umumiyet"->"tatlı":46,"acı":2 bin,result:-1.7237023593070335
"cim"->"tatlı":19 bin,"acı":7 bin,result:0.34822536561394585
"ürü"->"tatlı":bin,"acı":284,result:0.461251464628336
"harp"->"tatlı":4 bin,"acı":12 bin,result:-0.5625514500442889
"yetir"->"tatlı":230,"acı":6 bin,result:-1.5018536096906772
"sara"->"tatlı":21 bin,"acı":11 bin,result:0.19539641425106788
"cin"->"tatlı":58 bin,"acı":33 bin,result:0.15948385836042347
"cip"->"tatlı":bin,"acı":2 bin,result:-0.38646019098860757
"neden"->"tatlı":275 bin,"acı":823 bin,result:-0.5614973367066335
"motive"->"tatlı":10 bin,"acı":6 bin,result:0.13641855429173003
"halı"->"tatlı":31 bin,"acı":15 bin,result:0.22984023945396514
"yetim"->"tatlı":10 bin,"acı":40 bin,result:-0.6874901866525888
"yetin"->"tatlı":2 bin,"acı":237,result:0.840851454329251
"varlık"->"tatlı":25 bin,"acı":27 bin,result:-0.11885395081157604
"hara"->"tatlı":5 bin,"acı":2 bin,result:0.31250981334741124
"harf"->"tatlı":15 bin,"acı":12 bin,result:0.011479817683430031
